concept,photo,distractQ
leaves,leaves1.jpg,87 x 7 =
bird,bird3.jpg,17 x 87 =
cat,cat1.jpg,77 x 21 =
bike,bike3.jpg,25 x 17 =
bear,bear1.jpg,49 x 43 =
apples,apples4.jpg,68 x 47 =
lion,lion1.jpg,11 x 83 =
elephant,elephant3.jpg,51 x 65 =
train,train1.jpg,96 x 22 =
banana,banana1.jpg,84 x 54 =
strawberries,strawberries4.jpg,14 x 38 =
tree,tree1.jpg,9 x 54 =
fish,fish3.jpg,16 x 12 =
turtle,turtle3.jpg,80 x 11 =
horse,horse2.jpg,18 x 61 =
bench,bench1.jpg,18 x 74 =
book,book1.jpg,9 x 22 =
bridge,bridge1.jpg,94 x 64 =
car,car1.jpg,77 x 21 =
fox,fox1.jpg,74 x 57 =
frog,frog1.jpg,63 x 58 =
phone,phone1.jpg,86 x 12 =
pineapple,pineapple1.jpg,44 x 75 =
whale,whale1.jpg,5 x 57 =
pie,pie1.jpg,82 x 31 =
rabbit,rabbit1.jpg,25 x 88 =
camel,camel1.jpg,44 x 84 =
mouse,mouse2.jpg,26 x 23 =
chairs,chairs2.jpg,13 x 47 =
carrots,carrots1.jpg,44 x 4 =
alligator,alligator1.jpg,47 x 24 =
grapes,grapes1.jpg,37 x 63 =
