concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,150.7467910159612,14.873981651035137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
,,,,,,,,,,,,,,,12.88900891202502,None,14.873981651035137,None,165.68940484209452,None,space,5.110243090079166,167.63804619107395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
horse,horse2.jpg,0,0,0,6,,,,,,,,,,,,,,,,,,,,172.92982535809278,None,space,2.813916719984263,173.38790298404638,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
alligator,alligator1.jpg,0,1,1,7,,,,,,,,,,,,,,,,,,,,176.24290139309596,None,space,0.0992500470019877,176.72209657006897,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
chairs,chairs2.jpg,0,2,2,2,,,,,,,,,,,,,,,,,,,,176.85450030106585,None,space,0.6934668920002878,177.3392522050999,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
bike,bike3.jpg,0,3,3,11,,,,,,,,,,,,,,,,,,,,178.07752735703252,None,space,0.5624052709899843,178.57142255210783,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
train,train1.jpg,0,4,4,12,,,,,,,,,,,,,,,,,,,,179.17179929604754,None,space,0.18700713105499744,179.65572260704357,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
tree,tree1.jpg,0,5,5,13,,,,,,,,,,,,,,,,,,,,179.89049825107213,None,space,0.01956991699989885,180.3721705750795,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
leaves,leaves1.jpg,0,6,6,15,,,,,,,,,,,,,,,,,,,,180.43623716500588,None,space,0.6170340990647674,180.92153419705573,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
bridge,bridge1.jpg,0,7,7,1,,,,,,,,,,,,,,,,,,,,181.57167595799547,None,space,0.03234659391455352,182.05511664308142,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
bird,bird3.jpg,0,8,8,4,,,,,,,,,,,,,,,,,,,,182.12221310904715,None,space,0.010996195953339338,182.60449997906107,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
frog,frog1.jpg,0,9,9,5,,,,,,,,,,,,,,,,,,,,182.65393333206885,None,space,0.18404067400842905,183.13779581303243,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
banana,banana1.jpg,0,10,10,0,,,,,,,,,,,,,,,,,,,,183.3558511279989,None,space,1.0832057510269806,183.83773285604548,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
pineapple,pineapple1.jpg,0,11,11,9,,,,,,,,,,,,,,,,,,,,184.95678494102322,None,space,0.7911574139725417,185.43824237701483,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
pie,pie1.jpg,0,12,12,3,,,,,,,,,,,,,,,,,,,,186.27317357005086,None,space,0.04744640598073602,186.7539374870248,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
whale,whale1.jpg,0,13,13,10,,,,,,,,,,,,,,,,,,,,186.83371870906558,None,space,0.11579678498674184,187.321375929052,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
bear,bear1.jpg,0,14,14,14,,,,,,,,,,,,,,,,,,,,187.4745729881106,None,space,1.4267338529461995,187.97142084804364,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
bench,bench1.jpg,0,15,15,8,,,,,,,,,,,,,,,,,,,,189.4403430710081,None,space,0.0418438829947263,189.92125018499792,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.99039822001942,None,space,0.1080510049359873,191.97110287100077,None,,,,,,,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
turtle,turtle3.jpg,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.15574895008467,None,space,0.1409611899871379,192.63801611808594,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
fish,fish3.jpg,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.81914748600684,None,space,0.719221665058285,193.30524103401694,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
rabbit,rabbit1.jpg,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.06662472500466,None,space,0.1428718148963526,194.55400400003418,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
carrots,carrots1.jpg,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7358088430483,None,space,0.966323780012317,195.22078657301608,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
book,book1.jpg,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.21686015301384,None,space,0.12573983299080282,196.7044788210187,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
phone,phone1.jpg,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8743356060004,None,space,0.8905615760013461,197.37328814400826,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
mouse,mouse2.jpg,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.30284046102315,None,space,0.05481532006524503,198.78932469303254,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
car,car1.jpg,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.88803253509104,None,space,0.10002392495516688,199.37091385002714,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
apples,apples4.jpg,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.5075252490351,None,space,0.7155927969142795,200.0048239150783,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
cat,cat1.jpg,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.75612887903117,None,space,0.7619765609269962,201.23799748299643,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
elephant,elephant3.jpg,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.03978102002293,None,space,0.11723101499956101,202.52144871104974,None,,,,,,,,,2021_Mar_04_1638,df_e1,2021.1.2,59.613599306615974,
