concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,input.keys,input.rt,input.started,input.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.6072330039460212,14.226896902080625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
,,,,,,,,,,,,,,,12.265443467069417,None,14.226896902080625,None,14.864382782019675,None,space,1.3897282689576969,16.843165026046336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
whale,whale1.jpg,0,0,0,4,,,,,,,,,,,,,,,,,,,,18.32823509105947,None,space,3.2330116250086576,18.792773916036822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
tree,tree1.jpg,0,1,1,5,,,,,,,,,,,,,,,,,,,,22.061958711012267,None,space,1.235142488963902,22.55727909610141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
frog,frog1.jpg,0,2,2,8,,,,,,,,,,,,,,,,,,,,23.827664478099905,None,space,0.9920514470431954,24.309519898029976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
carrots,carrots1.jpg,0,3,3,9,,,,,,,,,,,,,,,,,,,,25.34386877901852,None,space,2.092039608047344,25.82622958207503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
fish,fish3.jpg,0,4,4,1,,,,,,,,,,,,,,,,,,,,27.958207400050014,None,space,1.346229817951098,28.442319508991204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
rabbit,rabbit1.jpg,0,5,5,6,,,,,,,,,,,,,,,,,,,,29.825124316033907,None,space,1.4018159399274737,30.309365243068896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
fox,fox1.jpg,0,6,6,3,,,,,,,,,,,,,,,,,,,,31.755736376042478,None,space,1.2087059480836615,32.24272282002494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
train,train1.jpg,0,7,7,12,,,,,,,,,,,,,,,,,,,,33.492937894072384,None,space,1.1052973119076341,33.975986168021336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
grapes,grapes1.jpg,0,8,8,11,,,,,,,,,,,,,,,,,,,,35.124376756022684,None,space,1.2998382539954036,35.60925413109362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
bridge,bridge1.jpg,0,9,9,10,,,,,,,,,,,,,,,,,,,,36.94509752502199,None,space,1.0742267579771578,37.42583460104652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
car,car1.jpg,0,10,10,7,,,,,,,,,,,,,,,,,,,,38.541182859102264,None,space,1.339070207090117,39.024836252094246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
leaves,leaves1.jpg,0,11,11,0,,,,,,,,,,,,,,,,,,,,40.40490469499491,None,space,0.6720789679093286,40.89202044799458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
apples,apples4.jpg,0,12,12,13,,,,,,,,,,,,,,,,,,,,41.611208321060985,None,space,0.8417340399464592,42.09224762802478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
banana,banana1.jpg,0,13,13,2,,,,,,,,,,,,,,,,,,,,42.97286184201948,None,space,0.5767767720390111,43.458885058993474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
bird,bird3.jpg,0,14,14,15,,,,,,,,,,,,,,,,,,,,44.076497215079144,None,space,0.6666908320039511,44.55908450309653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
elephant,elephant3.jpg,0,15,15,14,,,,,,,,,,,,,,,,,,,,45.277387676993385,None,space,0.601320625981316,45.7593444660306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.392197841079906,None,space,0.32037101802416146,48.376087922020815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
strawberries,strawberries4.jpg,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76127667608671,None,space,0.3974389439681545,49.24208138009999,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
bear,bear1.jpg,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67782543809153,None,space,0.44068487198092043,50.159861559048295,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
turtle,turtle3.jpg,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.64322904101573,None,space,0.45961992000229657,51.12571807310451,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
pineapple,pineapple1.jpg,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.626490505062975,None,space,0.43333473103120923,52.10912355501205,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
