concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.16757754096761346,12.379643391002901,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
,,,,,,,,,,,,,,,10.408045843010768,None,12.379643391002901,None,12.583159162080847,None,space,0.5515945079969242,14.563419709098525,None,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
pie,pie1.jpg,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
car,car1.jpg,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
bird,bird3.jpg,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
pineapple,pineapple1.jpg,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
horse,horse2.jpg,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
tree,tree1.jpg,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
alligator,alligator1.jpg,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
bench,bench1.jpg,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
chairs,chairs2.jpg,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
leaves,leaves1.jpg,0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
bear,bear1.jpg,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
grapes,grapes1.jpg,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
strawberries,strawberries4.jpg,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
banana,banana1.jpg,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
fox,fox1.jpg,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
whale,whale1.jpg,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
,,,,,,,,,,,,,,,,,,,,,,,,,15.170962299103849,None,space,0.1126845000544563,17.146468287101015,None,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
fish,fish3.jpg,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
camel,camel1.jpg,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
lion,lion1.jpg,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
frog,frog1.jpg,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
mouse,mouse2.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
turtle,turtle3.jpg,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
cat,cat1.jpg,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
bridge,bridge1.jpg,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
carrots,carrots1.jpg,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
phone,phone1.jpg,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
train,train1.jpg,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
rabbit,rabbit1.jpg,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
apples,apples4.jpg,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
bike,bike3.jpg,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
elephant,elephant3.jpg,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
book,book1.jpg,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29748642107006,None,space,0.3331639689859003,19.279909405042417,None,,,,2021_Mar_04_1704,df_e1,2021.1.2,60.15306317671744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
