concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,1.6131708799985063,13.464738038999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
,,,,,,,,,,,,,,,,,,,,11.488156222998441,None,13.464738038999712,None,15.102108425999177,None,space,0.8388578379999672,17.080958250999174,None,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
leaves,leaves1.jpg,87 x 7 =,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
alligator,alligator1.jpg,47 x 24 =,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
camel,camel1.jpg,44 x 84 =,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
strawberries,strawberries4.jpg,14 x 38 =,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
train,train1.jpg,96 x 99 =,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
phone,phone1.jpg,86 x 12 =,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
fish,fish3.jpg,16 x 1 =,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
lion,lion1.jpg,11 x 83 =,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
chairs,chairs2.jpg,13 x 47 =,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
elephant,elephant3.jpg,51 x 65 =,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bridge,bridge1.jpg,94 x 64 =,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bike,bike3.jpg,25 x 17 =,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bench,bench1.jpg,18 x 74 =,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
rabbit,rabbit1.jpg,25 x 88 =,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
turtle,turtle3.jpg,80 x 11 =,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
apples,apples4.jpg,68 x 47 =,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.979902250999658,None,space,0.016713281998818275,19.96471372799897,None,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
book,book1.jpg,9 x 22 =,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
pie,pie1.jpg,82 x 31 =,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
grapes,grapes1.jpg,37 x 63 =,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
frog,frog1.jpg,63 x 58 =,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
whale,whale1.jpg,5 x 57 =,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bear,bear1.jpg,49 x 43 =,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
banana,banana1.jpg,84 x 54 =,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
carrots,carrots1.jpg,44 x 4 =,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
mouse,mouse2.jpg,26 x 23 =,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bird,bird3.jpg,17 x 87 =,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
fox,fox1.jpg,74 x 57 =,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
tree,tree1.jpg,9 x 54 =,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
car,car1.jpg,77 x 21 =,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
pineapple,pineapple1.jpg,44 x 75 =,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
horse,horse2.jpg,18 x 61 =,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
cat,cat1.jpg,77 x 21 =,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bird,bird3.jpg,17 x 87 =,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,return,2.4033978690004005,20.063940679998268,None,20.063940679998268,None,20.063940679998268,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
book,book1.jpg,9 x 22 =,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,return,1.0943163920001098,22.50497465599983,None,22.50497465599983,None,22.50497465599983,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
leaves,leaves1.jpg,87 x 7 =,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,return,0.9252159139996365,23.645093313998586,None,23.645093313998586,None,23.645093313998586,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
