concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,1.3937371320007514,14.909975329999725,None,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
,,,,,,,,,,,,,,,,,,,,12.94268718300009,None,14.909975329999725,None,16.328790389999995,None,space,5.2467897460010136,18.292271083999367,None,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
book,book1.jpg,9 x 22 =,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
fish,fish3.jpg,16 x 12 =,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
horse,horse2.jpg,18 x 61 =,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
train,train1.jpg,96 x 22 =,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
bench,bench1.jpg,18 x 74 =,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
grapes,grapes1.jpg,37 x 63 =,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
banana,banana1.jpg,84 x 54 =,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
fox,fox1.jpg,74 x 57 =,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
elephant,elephant3.jpg,51 x 65 =,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
chairs,chairs2.jpg,13 x 47 =,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
phone,phone1.jpg,86 x 12 =,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
bridge,bridge1.jpg,94 x 64 =,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
lion,lion1.jpg,11 x 83 =,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
rabbit,rabbit1.jpg,25 x 88 =,0,13,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
cat,cat1.jpg,77 x 21 =,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
turtle,turtle3.jpg,80 x 11 =,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.620289163000052,None,space,1.24936316899948,25.592301974000293,None,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
bear,bear1.jpg,49 x 43 =,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
alligator,alligator1.jpg,47 x 24 =,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
bird,bird3.jpg,17 x 87 =,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
mouse,mouse2.jpg,26 x 23 =,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
apples,apples4.jpg,68 x 47 =,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
frog,frog1.jpg,63 x 58 =,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
car,car1.jpg,77 x 21 =,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
carrots,carrots1.jpg,44 x 4 =,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
pineapple,pineapple1.jpg,44 x 75 =,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
strawberries,strawberries4.jpg,14 x 38 =,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
bike,bike3.jpg,25 x 17 =,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
pie,pie1.jpg,82 x 31 =,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
leaves,leaves1.jpg,87 x 7 =,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
camel,camel1.jpg,44 x 84 =,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
whale,whale1.jpg,5 x 57 =,,,,,0,14,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
tree,tree1.jpg,9 x 54 =,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1215,df_e1,2021.1.2,59.89977617345972,
