concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,4.022384593999959,13.008805781000774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
,,,,,,,,,,,,,,,,,,,,11.036400011000296,None,13.008805781000774,None,17.065999636000925,None,space,6.212993560000541,19.042711965001217,None,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bird,bird3.jpg,17 x 87 =,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
book,book1.jpg,9 x 22 =,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
train,train1.jpg,96 x 22 =,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
leaves,leaves1.jpg,87 x 7 =,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
fox,fox1.jpg,74 x 57 =,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
carrots,carrots1.jpg,44 x 4 =,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bear,bear1.jpg,49 x 43 =,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
camel,camel1.jpg,44 x 84 =,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
apples,apples4.jpg,68 x 47 =,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
whale,whale1.jpg,5 x 57 =,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
chairs,chairs2.jpg,13 x 47 =,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
cat,cat1.jpg,77 x 21 =,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
lion,lion1.jpg,11 x 83 =,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
banana,banana1.jpg,84 x 54 =,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
