concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,53.85324954300086,29.26243505900129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
,,,,,,,,,,,,,,,,27.272336535999784,None,29.26243505900129,None,83.13256411000111,None,space,173.8153189020013,85.10485860600238,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
whale,whale1.jpg,5 x 57 =,0,0,0,8,,,,,,,,,,,,,,,,,,,,259.2647505430032,None,space,8.328090881001117,259.72155334499985,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
bridge,bridge1.jpg,94 x 64 =,0,1,1,1,,,,,,,,,,,,,,,,,,,,268.11187363200224,None,space,2.223280900001555,268.602645641,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
cat,cat1.jpg,77 x 21 =,0,2,2,13,,,,,,,,,,,,,,,,,,,,270.87139481800114,None,space,14.378727363000507,271.37170215300284,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
strawberries,strawberries4.jpg,14 x 38 =,0,3,3,0,,,,,,,,,,,,,,,,,,,,285.817364120001,None,space,2.8631481109987362,286.2926333070027,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
apples,apples4.jpg,68 x 47 =,0,4,4,15,,,,,,,,,,,,,,,,,,,,289.2110458740026,None,space,3.2672085799968045,289.67786446000173,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
bear,bear1.jpg,49 x 43 =,0,5,5,4,,,,,,,,,,,,,,,,,,,,292.99361327200313,None,space,1.4182815339991066,293.4775494860005,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
chairs,chairs2.jpg,13 x 47 =,0,6,6,9,,,,,,,,,,,,,,,,,,,,294.9667125900014,None,space,1.8573920330018154,295.4531316520006,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
turtle,turtle3.jpg,80 x 11 =,0,7,7,2,,,,,,,,,,,,,,,,,,,,297.3831311640024,None,space,3.9602629100008926,297.85611493800025,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
phone,phone1.jpg,86 x 12 =,0,8,8,12,,,,,,,,,,,,,,,,,,,,301.86244497000007,None,space,3.6208174569983385,302.3726145190012,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
lion,lion1.jpg,11 x 83 =,0,9,9,14,,,,,,,,,,,,,,,,,,,,306.040074585002,None,space,3.5174704189994372,306.53042569100216,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
rabbit,rabbit1.jpg,25 x 88 =,0,10,10,10,,,,,,,,,,,,,,,,,,,,310.1025006300006,None,space,4.446691658999043,310.60142361300313,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
train,train1.jpg,96 x 22 =,0,11,11,6,,,,,,,,,,,,,,,,,,,,315.09676893800133,None,space,4.1477017709985375,315.5972067820003,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
frog,frog1.jpg,63 x 58 =,0,12,12,3,,,,,,,,,,,,,,,,,,,,319.803926949,None,space,2.6842637219997414,320.2824548190001,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
carrots,carrots1.jpg,44 x 4 =,0,13,13,7,,,,,,,,,,,,,,,,,,,,323.0087303240034,None,space,1.4697632579991478,323.4899482440014,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
tree,tree1.jpg,9 x 54 =,0,14,14,5,,,,,,,,,,,,,,,,,,,,325.0088604090015,None,space,0.8755520310005522,325.50909252100246,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
book,book1.jpg,9 x 22 =,0,15,15,11,,,,,,,,,,,,,,,,,,,,326.43385374100035,None,space,1.600719805999688,326.935822407002,None,,,,,,,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.5748612000025,None,space,56.1824689770001,330.54938146300265,None,,,,,,,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
bench,bench1.jpg,18 x 74 =,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.81802028400125,None,space,0.8211079680004332,387.2985628000024,None,,,2021_Mar_08_1311,df_e1,2021.1.2,None,
